# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1767720869611000000,1767720929612000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1767720869611000000,1767720929612000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1767720869611000000,1767720929612000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1767720869611000000,1767720929612000000,0
MappedFileStorage.storages,1767720869611000000,1767720929612000000,10
FilePageCacheLockFree.totalPageAllocationsWaited,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalPagesReclaimed,1767720869611000000,1767720929612000000,0
FilePageCache.uncachedFileAccess,1767720869611000000,1767720929612000000,0
FilePageCache.pageFastCacheHits,1767720869611000000,1767720929612000000,4
FilePageCacheLockFree.housekeeperTurnsSkipped,1767720869611000000,1767720929612000000,46984
FilePageCache.totalPageLoadsUs,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1767720869611000000,1767720929612000000,0
StreamlinedBlobStorage.recordsDeleted,1767720869611000000,1767720929612000000,0
MappedFileStorage.totalPagesMapped,1767720869611000000,1767720929612000000,10
FilePageCacheLockFree.totalPagesRequestsMs,1767720869611000000,1767720929612000000,0
StreamlinedBlobStorage.recordsRelocated,1767720869611000000,1767720929612000000,0
FilePageCache.maxCacheSizeInBytes,1767720869611000000,1767720929612000000,278937600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1767720869611000000,1767720929612000000,278994944
DirectByteBufferAllocator.misses,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1767720869611000000,1767720929612000000,0
StorageLockContext.competingThreads.max,1767720869611000000,1767720929612000000,0
StorageLockContext.competingThreads.avg,1767720869611000000,1767720929612000000,0.0
FilePageCache.maxRegisteredFiles,1767720869611000000,1767720929612000000,599
FilePageCacheLockFree.totalPagesReadMs,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.heapBytesInUse,1767720869611000000,1767720929612000000,0
MappedFileStorage.totalBytesMapped,1767720869611000000,1767720929612000000,115343360
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalBytesRead,1767720869611000000,1767720929612000000,0
StorageLockContext.competingThreads.90P,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1767720869611000000,1767720929612000000,119
FilePageCacheLockFree.totalPagesWritten,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalBytesWritten,1767720869611000000,1767720929612000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1767720869611000000,1767720929612000000,0
OS.loadAverage,1767720869611000000,1767720929612000000,3.4921875
JVM.totalBytesAllocated,1767720869611000000,1767720929612000000,48814800
JVM.maxNativeBytes,1767720869611000000,1767720929612000000,-1
JVM.threadCount,1767720869611000000,1767720929612000000,74
JVM.usedNativeBytes,1767720869611000000,1767720929612000000,398841144
JVM.totalCpuTimeMs,1767720869611000000,1767720929612000000,5534
JVM.GC.collections,1767720869611000000,1767720929612000000,0
JVM.GC.collectionTimesMs,1767720869611000000,1767720929612000000,0
JVM.maxHeapBytes,1767720869611000000,1767720929612000000,2147483648
JVM.usedHeapBytes,1767720869611000000,1767720929612000000,563324224
Indexes.entries.lookups,1767720869611000000,1767720929612000000,0.0
IndexesFlusher.totalFlushes,1767720869611000000,1767720929612000000,59
Indexes.entries.lookupDuration90PMs,1767720869611000000,1767720929612000000,0.0
Indexes.allKeys.lookupDuration90PMs,1767720869611000000,1767720929612000000,0.0
Indexes.stubs.lookupDurationMaxMs,1767720869611000000,1767720929612000000,2.0
Indexes.stubs.lookups,1767720869611000000,1767720929612000000,1.0
Indexes.allKeys.lookupDurationMaxMs,1767720869611000000,1767720929612000000,0.0
IndexesFlusher.totalFlushesRetried,1767720869611000000,1767720929612000000,0
Indexes.allKeys.lookupDurationAvgMs,1767720869611000000,1767720929612000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1767720869611000000,1767720929612000000,0
Indexes.stubs.lookupDurationAvgMs,1767720869611000000,1767720929612000000,2.0
IndexesFlusher.totalFlushingTimeUs,1767720869611000000,1767720929612000000,426099
Indexes.stubs.lookupDuration90PMs,1767720869611000000,1767720929612000000,2.0
Indexes.allKeys.lookups,1767720869611000000,1767720929612000000,0.0
Indexes.entries.lookupDurationMaxMs,1767720869611000000,1767720929612000000,0.0
Indexes.entries.lookupDurationAvgMs,1767720869611000000,1767720929612000000,0.0
FileNameCache.queries,1767720869611000000,1767720929612000000,1722
FileNameCache.totalMisses,1767720869611000000,1767720929612000000,2
AWTEventQueue.dispatchTimeTotalNS,1767720869611000000,1767720929612000000,417288871
FlushQueue.queueSizeMax,1767720869611000000,1767720929612000000,19
FlushQueue.waitingTimeMaxNs,1767720869611000000,1767720929612000000,25690111
NonBlockingReadAction.finalizedExecutionTimeUs,1767720869611000000,1767720929612000000,345
NonBlockingReadAction.failedExecutionsCount,1767720869611000000,1767720929612000000,0
AWTEventQueue.eventsDispatched,1767720869611000000,1767720929612000000,474
ReadAction.executionsCount,1767720869611000000,1767720929612000000,1099
FlushQueue.queueSizeAvg,1767720869611000000,1767720929612000000,2.6840215439856374
FlushQueue.queueSize90P,1767720869611000000,1767720929612000000,10
FlushQueue.executionTime90PNs,1767720869611000000,1767720929612000000,212991
FlushQueue.waitingTime90PNs,1767720869611000000,1767720929612000000,2211839
FlushQueue.tasksExecuted,1767720869611000000,1767720929612000000,557
AWTEventQueue.dispatchTimeMaxNs,1767720869611000000,1767720929612000000,31850495
FlushQueue.executionTimeMaxNs,1767720869611000000,1767720929612000000,31719423
FlushQueue.executionTimeAvgNs,1767720869611000000,1767720929612000000,194193.03411131058
NonBlockingReadAction.failedExecutionTimeUs,1767720869611000000,1767720929612000000,0
FlushQueue.waitingTimeAvgNs,1767720869611000000,1767720929612000000,1168442.8581687612
WriteAction.executionsCount,1767720869611000000,1767720929612000000,0
AWTEventQueue.dispatchTime90PNs,1767720869611000000,1767720929612000000,1736703
AWTEventQueue.dispatchTimeAvgNs,1767720869611000000,1767720929612000000,880180.9282700422
NonBlockingReadAction.finalizedExecutionsCount,1767720869611000000,1767720929612000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1767720869611000000,1767720929612000000,79
workspaceModel.sync.entities.ms,1767720869611000000,1767720929612000000,0
jps.global.initialize.library.bridges.after.loading.ms,1767720869611000000,1767720929612000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1767720869611000000,1767720929612000000,112
workspaceModel.global.updates.ms,1767720869611000000,1767720929612000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1767720869611000000,1767720929612000000,0
jps.reload.project.entities.ms,1767720869611000000,1767720929612000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1767720869611000000,1767720929612000000,0
workspaceModel.global.updates.count,1767720869611000000,1767720929612000000,0
workspaceModel.save.cache.to.file.ms,1767720869611000000,1767720929612000000,52
jps.module.iml.entities.serializer.load.entities.ms,1767720869611000000,1767720929612000000,85
